ADRESSE_ID;ID_REMAX;PRIX;ADRESSE;ODONYMES;NUM_APPARTEMENT;CODE_POSTAL;CODE_REGION;REGION;ARRONDISSEMENT;NUM_CIVIQUE
26;13112506;175000;975 Boul. St-Charles;boulevard;;J2C 4Y9;J2C;Saint-Charles-de-Drummond;Drummondville;975
27;22027607;179900;83 Rue Zakaïb;rue;;J3P 7X1;J3P;Sorel;Sorel-Tracy;83
28;19909549;1100000;18 Ch. de la Frontiere;chemin;;J0P 1R0;J0P;;Rivière-Beaudette;18
29;17494486;299900;732 Rue Alain;rue;;J5M 2L1;J5M;;Saint-Lin-Laurentides;732
30;14585324;525000;4005 Boul. des Sources;boulevard;505;H9B 0A3;H9B;;Dollard-des-Ormeaux;4005
31;13266413;487000;1364 Rue André-Labadie;rue;;J3G 0A1;J3G;;Beloeil;1364
32;19292461;824500;9325 Rue de Morelia;rue;;G2B 0G9;G2B;;Neufchâtel-Est/Lebourgneuf;9325
33;12981836;149900;333 Ch. du Lac-Doré S.;chemin;;J0V 1G0;J0V;;Duhamel;333
34;13617790;439900;8 Ch. de la Frontiere;chemin;;J0P 1R0;J0P;;Rivière-Beaudette;8
35;28918732;179000;1560 Rue Rolland;rue;;J7T 1K6;J7T;;Les Cèdres;1560
36;25616484;309900;1863 Rue de l'Estoc;rue;;G2E 6K6;G2E;;L'Ancienne-Lorette;1863
37;15776785;279000;6 Ch. des Quatre-Soleils;chemin;;J0R 1R1;J0R;;Saint-Sauveur;6
38;28362642;119000;237 1er Rang O.;1er rang;;G0A 3V0;G0A;Charlevoix;Saint-Hilarion;237
39;12091107;229900;438 Rue Davidson E.;rue;;J8R 2P5;J8R;;Gatineau;438
40;16105098;525000;9015 Rue Bellerive;rue;301;H1L 3S4;H1L;Mercier;Mercier/Hochelaga-Maisonneuve;9015
41;15314076;2500;2005 Rue St-Germain;rue;;H4L 3T2;H4L;;Saint-Laurent;2005
42;14627185;226400;Dom. de Sherwood;de;;G0A 4N0;G0A;;Shannon;Dom.
43;11590805;435550;24 Av. de Charleville;avenue;;G0A 1H0;G0A;;Boischatel;24
44;13034788;129000;700 Route 204;route;;G0R 2R0;G0R;;Saint-Aubert;700
45;27776787;259000;255 Rue de Verchères;rue;408;J4V 2B2;J4V;;Greenfield Park;255
46;18492709;239000;255 Rue de Verchères;rue;306;J4V 2B2;J4V;;Greenfield Park;255
47;12865880;249000;255 Av. Victoria;avenue;305;J4V 2B2;J4V;;Greenfield Park;255
48;14279516;249000;255 Rue de Verchères;rue;205;J4V 2B2;J4V;;Greenfield Park;255
49;13917785;199000;255 Rue de Verchères;rue;107;J4V 2B2;J4V;;Greenfield Park;255
50;26732736;399900;60 Rue William-Paul;rue;501;H3E 1N5;H3E;;Île-des-Soeurs;60
51;20891259;398800;5745 Rue du Cormoran;rue;;J4Z 0C3;J4Z;;Brossard;5745
52;15747773;1400;4051 Rue Joliette;rue;12;H1X 3H8;H1X;Shop Angus;Rosemont/La Petite-Patrie;4051
53;21931910;169000;269 6e Avenue;6e avenue;;J7R 3G3;J7R;;Deux-Montagnes;269
54;15982544;339900;425 Rue du Titanic;rue;;J5C 1Z9;J5C;;Sainte-Catherine;425
55;26042588;374900;14040 Rue Ozias-Leduc;rue;;J7N 3H8;J7N;Saint-Augustin;Mirabel;14040
56;12782121;279900;355 Rue de la Petite-Prairie;rue;;J3X 0B3;J3X;;Varennes;355
57;20681756;165000;157 Boul. d'Europe;boulevard;1;J9J 0A5;J9J;;Aylmer;157
58;14551882;359000;915 Rue Bergeron;rue;;H7H 1T3;H7H;Laval;Auteuil;915
59;23409855;348885;301 Ch. du Bas-de-Ste-Thérèse;chemin;702;J7B 0B2;J7B;;Blainville;301
60;18680283;374900;51 Rue du Sommet;rue;;J8A 0E1;J8A;;Saint-Hippolyte;51
61;26888978;299000;172 Rue Roland-Rancourt;rue;;G0A 1N0;G0A;;Château-Richer;172
62;23562415;52000;61 Rue Lambert;rue;;G0Z 2P0;G0Z;;Saint-Étienne-des-Grès;61
63;22519373;950;105 Rue Andrew;rue;;J6S 0M9;J6S;;Salaberry-de-Valleyfield;105
64;17546793;225000;523 Mtée des Pionniers;montée;;J6V 1S2;J6V;;Lachenaie;523
65;27866607;169000;52 Ch. Cascade;chemin;;J0V 1K0;J0V;;Gore;52
66;21647717;198888;565 76e Rue O.;76e rue;101;G1H 4S5;G1H;;Charlesbourg Ouest;565
67;14923360;259900;18 Rue des Sureaux;rue;;G0A 1L0;G0A;;Cap-Santé;18
68;25944260;258888;370 Rue Gingras;rue;107;G1X 3Y1;G1X;Pointe-de-Sainte-Foy;Sainte-Foy/Sillery/Cap-Rouge;370
69;11802374;499000;152 Av. Braebrook;avenue;;H9R 1T9;H9R;;Pointe-Claire;152
70;25039877;499000;235 Ch. St-Guillaume;chemin;;J0T 2C0;J0T;;Saint-Donat;235
71;27695312;224000;8300 Rue de Londres;rue;3;J4Y 0N3;J4Y;;Brossard;8300
72;25562646;110000;24 Lac la Clochette;lac;;H1H 1H1;H1H;;La Tuque;24
73;24504347;339900;11288 Boul. Ste-Anne;boulevard;;G0A 1E0;G0A;;Beaupré;11288
74;23905518;194900;11 14e Rue;14e rue;;G0S 3G0;G0S;;Scott;11
75;23573928;289900;2975 2e Rue;2e rue;202;H7R 2X1;H7R;;Laval-Ouest;2975
76;22717879;324900;1337 Rue des Charmes;rue;;H7P 3R7;H7P;Laval;Fabreville;1337
77;18635892;239000;170 Ch. Lauzon;chemin;;J0R 1R1;J0R;;Saint-Sauveur;170
78;16496436;229000;318 Rue Ozias-Leduc;rue;;G1C 4W2;G1C;Saint-Michel;Beauport;318
79;24750235;489000;12 Av. de la Rivière;avenue;;G3N 0B8;G3N;;Fossambault-sur-le-Lac;12
80;15923519;99000;176 Rue Durocher;rue;;J0G 1K0;J0G;;Massueville;176
81;20889663;127500;1691 Ch. de St-Jean-des-Piles;chemin;;G0X 2V0;G0X;Saint-Jean-des-Piles;Shawinigan;1691
82;9688835;179000;276 Ch. de Mont-Rolland;chemin;;J8A 3A3;J8A;;Saint-Hippolyte;276
83;19433427;389000;1001 Rg St-Régis;rang;;J0L 2A0;J0L;;Saint-Isidore;1001
84;21040246;249900;1640 Ch. du Paysan;chemin;;J8B 3K5;J8B;;Sainte-Adèle;1640
85;20424250;139000;304 Ch. du Contour-du-Lac-à-Beauce;chemin;;G9X 3N8;G9X;;La Tuque;304
86;19091698;239500;3805 Rue St-Joseph;rue;;J1Z 1G8;J1Z;;Saint-Cyrille-de-Wendover;3805
87;13883834;399900;48 Rue des Chênes;rue;;J7E 4Y2;J7E;;Sainte-Thérèse;48
88;23906629;269900;14369 Rue Jolicoeur;rue;401;H9H 5M5;H9H;;Pierrefonds;14369
89;14600164;2100;4975 Rue Jean-Talon O.;rue;812;H4P 1W7;H4P;;Côte-des-Neiges;4975
90;23054979;289900;5555 Ch. de la Côte-des-Neiges;chemin;402;H3T 2A9;H3T;;Côte-des-Neiges;5555
91;28140589;388500;557 Rue Boisvert;rue;;J9J 3C9;J9J;;Aylmer Nord;557
92;22872807;219900;88 Rue Bradford;rue;;J2G 4J6;J2G;;Granby;88
93;10103255;498000;1288 Av. des Canadiens-de-Montréal;avenue;3414;H3B 3B3;H3B;Centre-Ouest;Ville-Marie;1288
94;28114114;2350;350 Boul. De Maisonneuve O.;boulevard;802;H3A 0B4;H3A;Central;Ville-Marie;350
95;20193179;1500000;15 Rue de l'Ancrage;rue;;G0R 3S0;G0R;;Saint-Michel-de-Bellechasse;15
96;28694284;379000;687 Ch. de Knowlton;chemin;;J0E 1V0;J0E;;Lac-Brome;687
98;21112889;239000;623 Ch. H.-Bondu;chemin;;J0W 1S0;J0W;;Notre-Dame-de-Pontmain;623
99;14424243;299574;10098 Boul. St-Laurent;boulevard;C-4;H3L 3N7;H3L;Montréal;Ahuntsic-Cartierville;10098
100;14932892;339900;10 Rue Fleury O.;rue;207;H3L 1S8;H3L;Montréal;Ahuntsic-Cartierville;10
101;10348860;599000;715 Ch. des Pins E.;chemin;;J0R 1R2;J0R;;Saint-Sauveur;715
102;12639093;419000;12487 Rue Granger;rue;;H8Z 1V4;H8Z;;Pierrefonds;12487
103;12106357;1850;155 Av. Lilas;avenue;;H9S 3M1;H9S;;Dorval;155
104;17027719;175000;359 Rue Gouin;rue;;G9X 1G5;G9X;;La Tuque;359
105;17430485;289000;5188 Rue St-Jacques;rue;;H7C 1G9;H7C;Laval;Saint-Vincent-de-Paul;5188
106;15169421;359000;97 Rue Upper Whitlock;rue;;J0P 1H0;J0P;;Hudson;97
107;14672564;364900;1279 Rue Lorraine;rue;;J5T 4A7;J5T;;Lavaltrie;1279
108;28481213;129000;69 Rue Grignon;rue;5;J7P 4X1;J7P;;Saint-Eustache;69
109;22508026;259900;7178 Boul. Ste-Anne;boulevard;;G0A 1N0;G0A;;Château-Richer;7178
110;21223551;435000;6025 Route Ste-Geneviève;route;;G3K 1A8;G3K;Val-Bélair;La Haute-Saint-Charles;6025
111;17191558;324900;185 Rue Laurier;rue;504;J8X 0B2;J8X;;Hull;185
112;20391586;149000;6 Av. de Picardie;avenue;401;J5R 5S7;J5R;;Candiac;6
113;13068017;192500;1381 Rue Rodrigue;rue;201;J7M 0H3;J7M;;La Plaine;1381
114;22825819;339000;22 Rue Marielle-Primeau;rue;;J6R 0E6;J6R;Rive-Sud;Mercier;22
115;22688211;224000;268 Rue Edgar-Hébert;rue;;J6N 1X1;J6N;;Beauharnois;268
116;13801127;900;608 Rue Étienne-Lavoie;rue;;H7X 0A9;H7X;Laval;Sainte-Dorothée;608
117;27638446;259000;4128 Rue Notre-Dame E.;rue;;J8V 1Z2;J8V;Sainte-Marthe-du-Cap;Trois-Rivières;4128
118;9178683;340000;8554 Rue de la Grève-Gilmour;rue;;G6V 7P8;G6V;Lévis;Desjardins;8554
119;25346029;349900;807 Ch. de la Croix;chemin;;J8B 2S1;J8B;;Sainte-Adèle;807
120;15499808;1500;16 Rue Sunset;rue;;J0V 1K0;J0V;;Gore;16
121;14048581;475000;1563 Rue Baillargeon;rue;;J2W 2B4;J2W;Saint-Luc;Saint-Jean-sur-Richelieu;1563
122;27821090;324500;4520 Prom. Paton;promenade;504;H7W 4X1;H7W;Laval;Chomedey;4520
123;24567421;119900;18 2e Rue O.;2e rue;;G0N 1B0;G0N;;Saint-Martin;18
124;24048180;239000;13381 Rue Claude;rue;;J7J 1A4;J7J;Saint-Janvier;Mirabel;13381
125;18541673;260000;8900 Crois. du Louvre;croissant;1;J4Y 0C5;J4Y;;Brossard;8900
126;27912525;284900;1283 Rue Édesse-Morin;rue;;J3G 0H3;J3G;;Beloeil;1283
128;15739398;184000;220 Rue du Rosier;rue;;G3H 0L9;G3H;;Pont-Rouge;220
129;11083640;139900;40 Av. de Balmoral;avenue;102;J5R 5E4;J5R;;La Prairie;40
130;24551060;295000;99 Ch. du Lac-Kri;chemin;;J0T 2C0;J0T;;Saint-Donat;99
131;17214946;199900;1510 Rue des Calèches;rue;;G3K 0M6;G3K;Val-Bélair;La Haute-Saint-Charles;1510
132;19867455;329900;78 Crois. des Mésanges;croissant;;J0E 1E0;J0E;;Ange-Gardien;78
133;21050591;129900;2680 Rue Schulz;rue;;J7Y 0C9;J7Y;Lafontaine;Saint-Jérôme;2680
134;18000194;324900;31 Rue d'Orléans;rue;;G0A 4C0;G0A;;Sainte-Pétronille-de-l'Île-d'Orléans;31
135;20592166;899000;5560 Rue Beaubien E.;rue;;H1T 1X5;H1T;Nouveau-Rosemont;Rosemont/La Petite-Patrie;5560
136;28494223;1750;240 Ch. Bates;chemin;204;H3S 1A3;H3S;;Mont-Royal;240
137;27777739;269900;23 Ch. de Gosford;chemin;;G3S 0W6;G3S;;Shannon;23
138;27271017;399000;2239 Route 125;route;;J0T 2A0;J0T;;Notre-Dame-de-la-Merci;2239
139;26861233;409000;124 Rue de la Toundra;rue;;G6Z 7V8;G6Z;Sainte-Hélène-de-Breakeyville;Les Chutes-de-la-Chaudière-Est;124
140;23378298;299900;2 Rue Coron;rue;;J7C 4H3;J7C;;Blainville;2
141;23161384;519000;495 Av. Viger O.;avenue;3007;H2Z 0B1;H2Z;Centre-Ouest;Ville-Marie;495
142;22174598;1800000;5054Z Boul. St-Martin O.;boulevard;;H7W 3S6;H7W;Laval;Chomedey;5054Z
143;20628129;109000;315 Ch. de la Rivière;chemin;;G0X 2C0;G0X;;Trois-Rives;315
144;17569112;199000;3040 Rue des Francs-Bourgeois;rue;;J7H 1M9;J7H;;Boisbriand;3040
145;13216164;149000;1117 Rue Irving;rue;;G3K 1N6;G3K;Val-Bélair;La Haute-Saint-Charles;1117
147;13469831;449900;750 Rue Samuel-De Champlain;rue;;J4B 5R3;J4B;;Boucherville;750
148;21281082;1400;3730 Rue MacKenzie;rue;;H3S 1E5;H3S;;Côte-des-Neiges;3730
149;18993519;409000;8040 Rue Marie-Brandon;rue;;H1E 3J8;H1E;;Rivière-des-Prairies;8040
150;26327498;371900;2895 Rue des Mésanges;rue;;J7K 3Y9;J7K;;Mascouche;2895
151;9515501;389900;36 Boul. Bellerose O.;boulevard;;H7K 2N5;H7K;Laval;Vimont;36
152;25854126;245000;101 Rue Auger;rue;;G1B 1V7;G1B;Laurentides;Beauport;101
153;18880929;274900;1775 Rue Championnet;rue;;J7Z 0G5;J7Z;;Saint-Jérôme;1775
154;20835389;395000;167 Ch. Favreau;chemin;;J0T 2C0;J0T;;Saint-Donat;167
155;13704063;498000;557 Rue de Marigny;rue;;H7N 5B7;H7N;;Laval des Rapides;557
156;16303756;718900;18699 Rue Poitiers;rue;;H9K 1P8;H9K;;Pierrefonds;18699
157;22045283;335000;534 Rue des Érables;rue;;J7V 0K1;J7V;;Vaudreuil-Dorion;534
158;10358728;215000;294 Rg des Vingt;rang;12;J3N 0A7;J3N;;Saint-Basile-le-Grand;294
160;22359958;239000;7060 Rue Hutchison;rue;104;H3N 2Z1;H3N;Parc-Extension;Villeray/Saint-Michel/Parc-Extension;7060
159;10311828;149000;25 Ch. de la Mine;chemin;;J0B 3J0;J0B;;Fontainebleau;25
161;28575678;445000;13152 Rue Sherwood;rue;;H8Z 1L7;H8Z;;Pierrefonds;13152
162;13651583;294500;2038 Rue Coaticook;rue;;J1L 2K3;J1L;Sherbrooke;Jacques-Cartier;2038
163;24669182;143900;5115 6E AVENUE;6e avenue;;G1H 6Y7;G1H;Atrium;Charlesbourg;5115
164;15923007;219000;3440 Rue Léa-Roback;rue;;G1E 1G3;G1E;Vieux-Moulin;Beauport;3440
165;10152822;229000;1490 Boul. de l'Entente;boulevard;207;G1S 4V3;G1S;Saint-Sacrement;La Cité-Limoilou;1490
166;16277466;1200;521 Rue d'Oka;rue;;H8R 3E2;H8R;;LaSalle;521
167;27644262;1450;1188 Rue St-Antoine O.;rue;1111;H3C 1B4;H3C;Central;Ville-Marie;1188
168;19168526;339900;67 Rue Principale;rue;;J0L 1P0;J0L;;Sainte-Angèle-de-Monnoir;67
169;12903107;624000;211 Rue de l'Infanterie;rue;;G0A 1H0;G0A;;Boischatel;211
170;11607572;289000;166 Rue des Lilas;rue;;J5W 0B3;J5W;;L'Assomption;166
171;10396930;849000;4367 Av. Christophe-Colomb;avenue;;H2J 3G4;H2J;;Plateau Mont-Royal;4367
172;18152911;917000;4620 Av. St-Ignatius;avenue;;H4B 2B7;H4B;;N.D.G.;4620
173;25257203;174000;825 Rue de Bruxelles;rue;206;H1L 0A8;H1L;Mercier;Mercier/Hochelaga-Maisonneuve;825
174;11318012;769000;341 Rue Murray;rue;;J4V 1N6;J4V;;Greenfield Park;341
175;20329916;999999;26 Rue de l'Ancre;rue;;J8V 3H7;J8V;;Cantley;26
176;25487257;349900;1553 Rue Alexis-Carrel;rue;;J7G 3B9;J7G;;Boisbriand;1553
177;21242021;169900;744 Rue Maisonneuve;rue;;J2J 1S6;J2J;;Granby;744
178;9844201;259800;91 Rue St-Denis;rue;;J8P 4T8;J8P;;Gatineau;91
179;17358466;2300;3235 Rue Cherrier;rue;;H9C 1P8;H9C;L'Île-Bizard;L'Île-Bizard/Sainte-Geneviève;3235
180;13077415;469900;2075 Rue de Bedford;rue;;J3V 4A9;J3V;;Saint-Bruno-de-Montarville;2075
181;13251350;569900;140 Rue Toe-Blake;rue;;J7V 0J6;J7V;;Vaudreuil-Dorion;140
182;20734918;222000;30 Ch. des Noyers;chemin;;J0R 1B0;J0R;;Sainte-Anne-des-Lacs;30
183;18524327;169000;4 Rue du Domaine-des-Sapins;rue;;J0A 1N0;J0A;;Wotton;4
184;23664618;389000;1066 Rue Prescott;rue;;J3A 1Z8;J3A;;Saint-Jean-sur-Richelieu;1066
185;22871949;169800;65 Rue Dumas;rue;;J8Y 2N2;J8Y;;Hull;65
186;16442916;379000;42 Rue Marcel-Vidal;rue;;J7C 5M9;J7C;;Blainville;42
187;14343496;2450;5862 Rue Hutchison;rue;;H2V 4C1;H2V;;Outremont;5862
188;25697169;179900;2332 Rue Normand;rue;;J1G 3S6;J1G;Sherbrooke;Fleurimont;2332
189;13571911;409900;241 Rue des Méandres;rue;;J7V 0E2;J7V;;Vaudreuil-Dorion;241
190;19473963;199900;1257 Rue Beauharnois;rue;;G6Z 3J4;G6Z;Saint-Jean-Chrysostome;Les Chutes-de-la-Chaudière-Est;1257
191;25345113;324000;770 Rue des Ateliers;rue;3;J4B 8P3;J4B;;Boucherville;770
192;26294518;359900;105 Rue François-De Laval;rue;;G6J 0H6;G6J;;Saint-Étienne-de-Lauzon;105
194;13187008;999900;20 Ch. du Manoir;chemin;;J9B 2P4;J9B;Old Chelsea +;Chelsea Est;20
195;13609945;229000;502 Rue de St-Romuald;rue;1;G6W 3J1;G6W;Saint-Romuald;Les Chutes-de-la-Chaudière-Est;502
196;25193175;209000;10385 Rue de Boulogne;rue;;G2B 0R6;G2B;;Neufchâtel-Est/Lebourgneuf;10385
197;10109479;394900;1017 Ch. des Nations;chemin;;J0R 1B0;J0R;;Sainte-Anne-des-Lacs;1017
200;20814596;275000;238 Rue Houde;rue;;J7P 4J6;J7P;;Saint-Eustache;238
201;19201746;214900;274 Rue du Cardinal;rue;1;J0L 1N0;J0L;;Saint-Amable;274
203;23692670;165000;343 Ch. Lac-Léon;chemin;;J0T 2C0;J0T;;Saint-Donat;343
204;19721870;240000;59 Rue Leclerc;rue;;J3G 3E7;J3G;;Beloeil;59
97;15777392;334000;32 65e Avenue;65e avenue;;J7P 3P8;J7P;;Saint-Eustache;32
205;15860571;252900;340 Rue Laurent-Barré;rue;;J0E 1E0;J0E;;Ange-Gardien;340
206;23762743;349000;2117 Rue Tupper;rue;1203;H3H 0B2;H3H;Centre-Ouest;Ville-Marie;2117
207;21959477;177500;625 9e Avenue;9e avenue;;G5X 1H7;G5X;;Beauceville;625
208;16132691;242900;929 Ch. de Ste-Anne-des-Lacs;chemin;;J0R 1B0;J0R;;Sainte-Anne-des-Lacs;929
209;12696684;169000;2260 Rue André;rue;;J7M 2A1;J7M;;La Plaine;2260
210;24355806;395000;688 Rue de Maskinongé;rue;;G1X 2N4;G1X;Plateau;Sainte-Foy/Sillery/Cap-Rouge;688
211;27238520;218000;28 8e Avenue;8e avenue;C;J7R 3J4;J7R;;Deux-Montagnes;28
212;19064650;339500;12 Ch. Campbell;chemin;;J8G 2B8;J8G;;Brownsburg-Chatham;12
2422;27312151;65000;6 Rue du Lac;rue;;G0J 1E0;G0J;;Cap-Chat;6
2423;15810295;189000;117 Rue Berry;rue;;G0C 2B0;G0C;;New Richmond;117
193;22498335;103000;186 Rue Gosselin;rue;;J1T 3Y4;J1T;;Asbestos;186
213;10613254;179900;57 Rue Quintal;rue;301;J5Z 1V8;J5Z;;Charlemagne;57
214;23606872;1700;5606 Boul. Léger;boulevard;;H1G 1K3;H1G;;Montréal-Nord;5606
215;14865740;289000;2381 Rue Gamache;rue;;J4L 1P2;J4L;;Longueuil;2381
216;14227868;334900;1165 Rue Volta;rue;;J2B 0G7;J2B;;Drummondville;1165
217;13397534;1750;5720 Ch. Upper-Lachine;chemin;403;H4A 2B2;H4A;;N.D.G.;5720
218;13268995;229900;30 Ch. Lalonde;chemin;;J8L 4J3;J8L;;Mayo;30
219;13073434;269000;5604 Rue des Perce-Neige;rue;;H1G 2M6;H1G;;Montréal-Nord;5604
220;12922894;569000;840 Boul. Wilson;boulevard;;J4L 1X7;J4L;;Longueuil;840
221;11902769;218800;121 Rue des Agrégats;rue;;J5K 2G1;J5K;;Saint-Colomban;121
222;11567788;199900;596 Rue Ste-Julie;rue;;J1R 0V9;J1R;;Saint-Élie-d'Orford;596
223;11238864;219900;10 Rue Caza;rue;;J6T 3A8;J6T;;Salaberry-de-Valleyfield;10
224;10965008;235000;342 Rue St-André O.;rue;304;J2G 0B4;J2G;;Granby;342
225;15793011;147900;40 Av. de Balmoral;avenue;101;J5R 5E4;J5R;;La Prairie;40
226;26697827;1650;3181 Boul. de la Gare;boulevard;209;J7V 0P7;J7V;;Vaudreuil-Dorion;3181
227;19185419;274900;1980 Rue des Grèbes;rue;1;H7L 0G8;H7L;Laval;Sainte-Rose;1980
228;27526296;174900;281 Rue Albert-Ouellet;rue;C;G2M 0L1;G2M;Notre-Dame-des-Laurentides;Charlesbourg;281
229;26762556;177500;2390 Route du Lac O.;route;;G8B 5V2;G8B;;Alma;2390
230;19580381;449000;1869 Rue Favard;rue;;H3K 1Y5;H3K;;Pointe-Saint-Charles;1869
231;18681175;499000;7280 24e Avenue;24e avenue;;H2A 2C9;H2A;Saint-Michel;Villeray/Saint-Michel/Parc-Extension;7280
232;28965515;355000;1533 Rue Taillefer;rue;;H7L 5P4;H7L;Laval;Sainte-Rose;1533
233;26355518;836000;5608 Av. Randall;avenue;;H4V 2W2;H4V;;Côte-Saint-Luc;5608
235;9959075;399000;1125 Boul. Pierre-LeSueur;boulevard;;J5W 2P2;J5W;;L'Assomption;1125
236;9853394;559000;153 Rue des Censitaires;rue;;J3X 2C5;J3X;;Varennes;153
237;9845280;369000;518 Rue François-V.-Malhiot;rue;39;J4B 0H2;J4B;;Boucherville;518
238;9797913;325000;5232 Rue du Sureau;rue;308;H8Z 0A4;H8Z;;Pierrefonds;5232
239;9211418;145000;139 Ch. Murray;chemin;;J0X 2W0;J0X;;Sainte-Cécile de Masham;139
240;28554852;219900;2 Rue Louis-Jolliet;rue;401;J7Y 0C3;J7Y;;Saint-Jérôme;2
241;28053436;649900;185 Rue Spring Garden;rue;;H9B 2N6;H9B;;Dollard-des-Ormeaux;185
242;27608308;645000;7713 Rue Broadway;rue;;H8P 1J2;H8P;;LaSalle;7713
243;27583755;1800;137 Rue Claude-Léveillé;rue;;J7V 0A3;J7V;;Vaudreuil-Dorion;137
244;27390631;169100;4657 Ch. des Pins;chemin;;G0R 1G0;G0R;;Notre-Dame-Auxiliatrice-de-Buckland;4657
245;26990344;199900;1581 Rue du Chèvrefeuille;rue;;J1E 0J6;J1E;Sherbrooke;Fleurimont;1581
247;25919419;179000;930 Boul. Trudel O.;boulevard;;G0X 2L0;G0X;;Saint-Boniface;930
248;25532163;389500;820 Rue De La Martinière;rue;;G6V 9N3;G6V;Lévis;Desjardins;820
249;25159336;488000;1087 Mtée Girouard;montée;;J5L 1N6;J5L;Bellefeuille;Saint-Jérôme;1087
250;22341241;187500;175 Rue Ste-Adèle;rue;;J6E 1Y6;J6E;;Saint-Charles-Borromée;175
251;22158136;169000;86 Rue Lemieux;rue;;J2H 0G3;J2H;;Granby;86
252;21877435;249000;753 161e Rue;161e rue;;G5Y 0A4;G5Y;Beauce;Saint-Georges;753
253;21837250;379000;4405 Boul. St-Jean;boulevard;102;H9H 2A4;H9H;;Dollard-des-Ormeaux;4405
254;20867507;55000;300 Route de la Station;route;;G0Y 1C0;G0Y;;Lac-Drolet;300
255;20856593;299000;791 Rg Point-du-Jour N.;rang;;J5W 1H3;J5W;;L'Assomption;791
256;20822320;259000;1466 Av. de Gentilly;avenue;;J3L 5V6;J3L;;Chambly;1466
257;20655960;179900;310 Rue McMaster;rue;;J8G 3A8;J8G;;Brownsburg-Chatham;310
258;20234827;315000;730 Boul. Montpellier;boulevard;808;H4L 5B3;H4L;;Saint-Laurent;730
259;20154571;212000;270 Rue Paul-H.-Frigon;rue;;J2C 7V1;J2C;;Drummondville;270
261;19921100;279500;393 Rue Trépanier;rue;;J2H 0R2;J2H;;Granby;393
262;18745715;199000;175 Rue des Pionners;rue;;J0B 3H0;J0B;;Waterville;175
263;18190929;186000;191 Rg de l'Île-du-Domaine E.;rang;;J0G 1W0;J0G;;Yamaska;191
264;17901301;420000;1191-1193 Rue de la Cadence;rue;;G3K 0C6;G3K;Val-Bélair;La Haute-Saint-Charles;1191-1193
265;17802174;279000;305 3e Rang;3e rang;;G0R 3Y0;G0R;;Saint-Paul-de-Montminy;305
266;17457091;2500;48 Rue Rioux;rue;;J3X 1R5;J3X;;Varennes;48
267;17360510;224000;596 Rue des Merisiers;rue;;G3G 2G4;G3G;Lac-Saint-Charles;La Haute-Saint-Charles;596
